,user_id,movie_id,rating
94871,889,684,2
45252,135,203,4
90833,774,674,2
1570,161,98,4
46935,506,578,3
9184,378,1478,3
91617,406,462,5
23698,474,649,4
72142,788,931,2
48213,721,749,3
19537,313,226,4
53055,537,678,1
10634,59,131,4
10791,97,432,4
2996,57,409,4
43411,293,200,4
47019,695,882,4
22702,313,192,3
16492,361,739,4
75966,933,746,4
78861,234,1011,3
4002,271,172,5
10807,121,137,5
46400,398,756,3
47675,693,11,4
57028,293,1333,4
71403,407,747,3
98098,878,699,1
64113,584,25,3
16584,437,165,4
95934,733,846,2
27027,456,69,4
24635,94,475,5
13961,276,288,4
57946,745,98,5
24887,474,646,4
95090,727,96,4
86163,880,281,4
98518,474,381,4
22855,312,70,5
94556,693,50,3
2535,246,8,3
27806,489,343,5
93716,894,286,5
10898,313,650,4
18761,234,472,2
66401,922,72,4
3167,174,396,1
34047,385,657,4
87963,751,237,2
45363,38,411,3
82435,178,531,4
41283,286,483,5
7671,276,597,3
78313,864,577,3
28658,454,215,4
42162,606,928,4
98565,661,169,5
97065,406,601,3
95731,181,1033,1
15500,412,92,3
20039,421,238,5
86094,606,1,5
64972,742,237,4
26257,454,257,4
81551,665,255,4
36399,385,191,2
20406,389,965,5
93054,868,95,2
29565,515,292,3
21051,144,470,2
98621,109,924,3
11512,243,268,4
86324,63,10,4
89922,385,23,5
587,79,303,4
86484,538,289,1
93701,758,150,5
19415,398,152,4
23595,315,56,5
22140,128,191,4
79423,537,521,2
94129,551,568,4
32464,524,541,1
58572,606,655,4
48275,642,89,2
87249,176,181,3
43264,508,474,5
70669,556,209,5
84950,621,299,1
92371,927,761,3
26929,436,794,4
2962,168,284,2
56189,823,1118,3
29955,207,248,3
55516,493,192,3
34540,303,535,1
44929,301,576,4
36420,82,834,1
30218,201,1073,2
71091,747,14,3
32609,332,252,5
80528,501,829,3
11954,60,180,4
58028,497,291,3
34860,119,132,5
31501,362,748,1
54644,178,658,5
61421,674,252,2
92394,488,321,3
89278,727,144,4
42592,537,202,3
89015,918,165,4
22139,299,167,3
59830,796,249,1
46286,724,305,3
36778,410,340,2
86821,648,294,3
73501,880,678,3
38107,459,264,4
62855,253,655,4
78022,628,332,5
18085,430,656,4
59148,627,51,5
58925,838,311,4
21297,139,740,2
2013,239,187,5
35406,363,575,1
94124,870,732,2
81102,486,1611,3
56456,840,517,4
96633,932,1456,4
9085,135,379,2
85668,790,135,3
38643,559,210,4
64604,821,1,5
34890,352,228,3
3594,7,268,3
39880,535,116,3
20447,313,768,3
99086,909,326,4
99633,465,408,5
74402,778,54,2
846,58,9,4
2287,59,604,3
83925,828,751,3
18164,311,1035,4
87824,889,279,2
40498,660,167,2
86699,588,568,4
55764,244,708,4
68374,823,217,3
18434,148,713,3
47157,270,665,4
36412,56,946,4
96265,795,2,3
2033,269,658,2
83985,815,83,4
97917,346,1188,1
69382,856,315,5
96497,705,797,4
85513,833,181,2
95011,276,413,3
48046,332,96,5
16433,308,147,3
4179,207,642,3
58879,447,546,2
98592,292,602,4
79725,299,10,5
54102,659,739,4
50518,751,418,5
42531,432,257,5
83293,892,768,4
17573,354,483,4
5955,191,896,3
74469,59,193,4
83230,758,11,3
71163,279,95,3
47702,641,192,4
82879,903,129,3
89904,910,9,4
10094,380,1449,4
85425,879,181,4
54565,655,89,4
44866,45,1059,2
74696,452,199,5
6531,314,938,3
74333,936,591,4
3648,280,227,3
49489,207,461,3
99205,479,271,3
55828,450,657,4
13227,58,228,5
81873,425,11,3
32158,454,661,4
51540,149,328,2
60533,861,1227,4
44506,618,239,3
27716,293,29,1
52097,613,509,4
37364,407,159,3
31361,269,56,5
26680,429,137,5
43540,341,895,4
31492,374,665,4
92793,705,181,5
79606,799,286,5
226,125,478,4
17004,62,1012,3
65031,556,604,5
51765,749,159,4
4023,217,566,4
66047,922,215,3
11955,267,943,4
85047,590,111,3
93298,938,286,3
94433,669,97,4
14038,295,86,5
24006,367,176,5
93895,320,248,5
25914,194,121,2
93713,800,275,4
79475,863,1313,1
41552,661,480,5
3053,234,657,4
10693,226,9,5
99642,59,273,2
93602,798,728,4
73933,524,708,4
69957,514,209,3
97926,43,892,3
62288,457,183,5
99095,294,1047,3
5472,308,632,3
33412,523,166,4
34234,116,302,3
59864,297,92,3
3674,96,519,4
5332,262,1220,4
83385,934,172,5
